id_str,from_user,text,created_at,time,geo_coordinates,user_lang,in_reply_to_user_id_str,in_reply_to_screen_name,from_user_id_str,in_reply_to_status_id_str,source,profile_image_url,user_followers_count,user_friends_count,user_location,status_url,entities_str
1.18155E+18,OttoParVel,"Una excelente rodada!😎
#motosgt94 #guatemala #Parvel #motorcyclephotography #guatemoto #motoguate #motovlog #motovlogging #motovlogger #motovloggerenespañol
#explorandoguatemala #goprochapin #Bajaj #DominarGT #Dominar #BajajDominar #BajajDominar400 #D400 #DOMINAR400 #TraficoGT https://t.co/IF1eHcvvqh",Tue Oct 08 12:25:08 +0000 2019,8/10/2019 13:25,,,,,369313942,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1176722011084722176/Ju8zWecN_normal.jpg,483,11,Guatemala,http://twitter.com/OttoParVel/statuses/1181546065922838528,"{""hashtags"":[{""text"":""motosgt94"",""indices"":[23,33]},{""text"":""guatemala"",""indices"":[34,44]},{""text"":""Parvel"",""indices"":[45,52]},{""text"":""motorcyclephotography"",""indices"":[53,75]},{""text"":""guatemoto"",""indices"":[76,86]},{""text"":""motoguate"",""indices"":[87,97]},{""text"":""motovlog"",""indices"":[98,107]},{""text"":""motovlogging"",""indices"":[108,121]},{""text"":""motovlogger"",""indices"":[122,134]},{""text"":""motovloggerenespañol"",""indices"":[135,156]},{""text"":""explorandoguatemala"",""indices"":[157,177]},{""text"":""goprochapin"",""indices"":[178,190]},{""text"":""Bajaj"",""indices"":[191,197]},{""text"":""DominarGT"",""indices"":[198,208]},{""text"":""Dominar"",""indices"":[209,217]},{""text"":""BajajDominar"",""indices"":[218,231]},{""text"":""BajajDominar400"",""indices"":[232,248]},{""text"":""D400"",""indices"":[249,254]},{""text"":""DOMINAR400"",""indices"":[255,266]},{""text"":""TraficoGT"",""indices"":[267,277]}],""symbols"":[],""user_mentions"":[],""urls"":[],""media"":[{""id"":1181546037619630000,""id_str"":""1181546037619630080"",""indices"":[278,301],""media_url"":""http://pbs.twimg.com/media/EGWx3HIWoAANww4.jpg"",""media_url_https"":""https://pbs.twimg.com/media/EGWx3HIWoAANww4.jpg"",""url"":""https://t.co/IF1eHcvvqh"",""display_url"":""pic.twitter.com/IF1eHcvvqh"",""expanded_url"":""https://twitter.com/OttoParVel/status/1181546065922838528/photo/1"",""type"":""photo"",""sizes"":{""large"":{""w"":1536,""h"":2048,""resize"":""fit""},""small"":{""w"":510,""h"":680,""resize"":""fit""},""thumb"":{""w"":150,""h"":150,""resize"":""crop""},""medium"":{""w"":900,""h"":1200,""resize"":""fit""}}}]}"
1.18155E+18,VictorP11869364,"RT @amilcarmontejo: Fallece vendedor de panes en 12 avenida 9 calle #TransitoGT zona 1 sobre banqueta.

Tras ataque armado las autoridades iniciaron cierre del carril vehicular pegado a Parque Cristóbal Colón. Los otros dos carriles en #TraficoGT sur seguirán activos sobre la 12 avenida. https://t.co/omQ7kdypUV",Tue Oct 08 12:21:10 +0000 2019,8/10/2019 13:21,,,,,1.1501E+18,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1184100393250361345/dEGVFl1h_normal.jpg,29,424,Guatemala,http://twitter.com/VictorP11869364/statuses/1181545067472920579,"{""hashtags"":[{""text"":""TransitoGT"",""indices"":[68,79]}],""symbols"":[],""user_mentions"":[{""screen_name"":""amilcarmontejo"",""name"":""Amilcar Montejo"",""id"":372126670,""id_str"":""372126670"",""indices"":[3,18]}],""urls"":[]}"
1.18154E+18,Eradol2762,"RT @infoTRAFICOgt: Sigue la búsqueda del profesor Mynor Leonel Orozco López, quien desapareció desde el 29 de agosto del 2019.

Hoy volvieron a publicar en medio escrito, que si alguien del #traficogt tiene alguna información lo haga saber al teléfono 110 de P.N.C o llame al 4178-1773. https://t.co/woTvBJLcSe",Tue Oct 08 12:20:17 +0000 2019,8/10/2019 13:20,,,,,355308746,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/632728349593309184/JjHcyFwZ_normal.jpg,107,532,Guatemala,http://twitter.com/Eradol2762/statuses/1181544842037465090,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""infoTRAFICOgt"",""name"":""infoTRAFICOgt"",""id"":2861923973,""id_str"":""2861923973"",""indices"":[3,17]}],""urls"":[]}"
1.18154E+18,PATTY19637,RT @prensa_libre: #Ahora | @SantosDalia reporta #TráficoGT lento en  calzada Aguilar Batres hacia el Trébol. Maneje con precaución. https://t.co/wCNQIIk3zn,Tue Oct 08 12:19:37 +0000 2019,8/10/2019 13:19,,,,,180664220,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/819953700886220800/IEXnr9Tx_normal.jpg,63,696,GUATEMALA,http://twitter.com/PATTY19637/statuses/1181544674458312711,"{""hashtags"":[{""text"":""Ahora"",""indices"":[18,24]},{""text"":""TráficoGT"",""indices"":[48,58]}],""symbols"":[],""user_mentions"":[{""screen_name"":""prensa_libre"",""name"":""Prensa Libre"",""id"":38687143,""id_str"":""38687143"",""indices"":[3,16]},{""screen_name"":""SantosDalia"",""name"":""Dalia Santos🚔"",""id"":551138653,""id_str"":""551138653"",""indices"":[27,39]}],""urls"":[]}"
1.18154E+18,LorenaG50742649,"RT @amilcarmontejo: Fallece vendedor de panes en 12 avenida 9 calle #TransitoGT zona 1 sobre banqueta.

Tras ataque armado las autoridades iniciaron cierre del carril vehicular pegado a Parque Cristóbal Colón. Los otros dos carriles en #TraficoGT sur seguirán activos sobre la 12 avenida. https://t.co/omQ7kdypUV",Tue Oct 08 12:14:41 +0000 2019,8/10/2019 13:14,,,,,1.1252E+18,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,12,25,,http://twitter.com/LorenaG50742649/statuses/1181543435968405511,"{""hashtags"":[{""text"":""TransitoGT"",""indices"":[68,79]}],""symbols"":[],""user_mentions"":[{""screen_name"":""amilcarmontejo"",""name"":""Amilcar Montejo"",""id"":372126670,""id_str"":""372126670"",""indices"":[3,18]}],""urls"":[]}"
1.18154E+18,vinicionoti7,"RT @amilcarmontejo: Fallece vendedor de panes en 12 avenida 9 calle #TransitoGT zona 1 sobre banqueta.

Tras ataque armado las autoridades iniciaron cierre del carril vehicular pegado a Parque Cristóbal Colón. Los otros dos carriles en #TraficoGT sur seguirán activos sobre la 12 avenida. https://t.co/omQ7kdypUV",Tue Oct 08 12:13:54 +0000 2019,8/10/2019 13:13,,,,,467054383,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1086307692308766721/OebJ1JsB_normal.jpg,18836,896,Edificio Canales 3 y 7 TV,http://twitter.com/vinicionoti7/statuses/1181543236814475266,"{""hashtags"":[{""text"":""TransitoGT"",""indices"":[68,79]}],""symbols"":[],""user_mentions"":[{""screen_name"":""amilcarmontejo"",""name"":""Amilcar Montejo"",""id"":372126670,""id_str"":""372126670"",""indices"":[3,18]}],""urls"":[]}"
1.18154E+18,LorenaG50742649,"RT @prensa_libre: #NoMásViolencia | Ataque armado en 12 avenida y 9 calle, zona 1, deja una persona muerta.  Autoridades cierran #TráficoGT frente a parque Colón, hacia el sur. Vía @amilcarmontejo https://t.co/PsLvbHK4VQ",Tue Oct 08 12:13:37 +0000 2019,8/10/2019 13:13,,,,,1.1252E+18,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,12,25,,http://twitter.com/LorenaG50742649/statuses/1181543167855865858,"{""hashtags"":[{""text"":""NoMásViolencia"",""indices"":[18,33]},{""text"":""TráficoGT"",""indices"":[129,139]}],""symbols"":[],""user_mentions"":[{""screen_name"":""prensa_libre"",""name"":""Prensa Libre"",""id"":38687143,""id_str"":""38687143"",""indices"":[3,16]}],""urls"":[]}"
1.18154E+18,amilcarmontejo,"Fallece vendedor de panes en 12 avenida 9 calle #TransitoGT zona 1 sobre banqueta.

Tras ataque armado las autoridades iniciaron cierre del carril vehicular pegado a Parque Cristóbal Colón. Los otros dos carriles en #TraficoGT sur seguirán activos sobre la 12 avenida. https://t.co/omQ7kdypUV",Tue Oct 08 12:12:08 +0000 2019,8/10/2019 13:12,,,,,372126670,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1032486627875201026/dBMYzSYX_normal.jpg,713970,218,"Guatemala, Guatemala",http://twitter.com/amilcarmontejo/statuses/1181542793841381378,"{""hashtags"":[{""text"":""TransitoGT"",""indices"":[48,59]},{""text"":""TraficoGT"",""indices"":[216,226]}],""symbols"":[],""user_mentions"":[],""urls"":[],""media"":[{""id"":1181542748844957700,""id_str"":""1181542748844957701"",""indices"":[269,292],""media_url"":""http://pbs.twimg.com/media/EGWu3rfXoAURHTi.jpg"",""media_url_https"":""https://pbs.twimg.com/media/EGWu3rfXoAURHTi.jpg"",""url"":""https://t.co/omQ7kdypUV"",""display_url"":""pic.twitter.com/omQ7kdypUV"",""expanded_url"":""https://twitter.com/amilcarmontejo/status/1181542793841381378/photo/1"",""type"":""photo"",""sizes"":{""small"":{""w"":680,""h"":510,""resize"":""fit""},""medium"":{""w"":1200,""h"":900,""resize"":""fit""},""thumb"":{""w"":150,""h"":150,""resize"":""crop""},""large"":{""w"":1440,""h"":1080,""resize"":""fit""}}}]}"
1.18154E+18,asojuel,"Qué pasó en boulevard sur de #SanCristobal?

@EmixtraPablo 

#TraficoGT",Tue Oct 08 12:10:29 +0000 2019,8/10/2019 13:10,,,,,911160433,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/981420279510511616/PFqP8Gdb_normal.jpg,146,1090,Guatemala,http://twitter.com/asojuel/statuses/1181542376814329856,"{""hashtags"":[{""text"":""SanCristobal"",""indices"":[29,42]},{""text"":""TraficoGT"",""indices"":[61,71]}],""symbols"":[],""user_mentions"":[{""screen_name"":""EmixtraPablo"",""name"":""Pablo Morales"",""id"":4859051417,""id_str"":""4859051417"",""indices"":[45,58]}],""urls"":[]}"
1.18154E+18,davolara,"RT @prensa_libre: #NoMásViolencia | Ataque armado en 12 avenida y 9 calle, zona 1, deja una persona muerta.  Autoridades cierran #TráficoGT frente a parque Colón, hacia el sur. Vía @amilcarmontejo https://t.co/PsLvbHK4VQ",Tue Oct 08 12:09:57 +0000 2019,8/10/2019 13:09,,,,,50376212,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1134987671850377217/vrzSmZAS_normal.jpg,188,136,Guatemala,http://twitter.com/davolara/statuses/1181542244135899136,"{""hashtags"":[{""text"":""NoMásViolencia"",""indices"":[18,33]},{""text"":""TráficoGT"",""indices"":[129,139]}],""symbols"":[],""user_mentions"":[{""screen_name"":""prensa_libre"",""name"":""Prensa Libre"",""id"":38687143,""id_str"":""38687143"",""indices"":[3,16]}],""urls"":[]}"
